10.05.2024,AB123,Москва,08:00,50,30,25,15,10.05.2024,20:00
10.05.2024,CD456,Санкт-Петербург,12:30,40,20,10,5,10.05.2024,23:45
11.05.2024,EF789,Сочи,14:30,60,40,30,20,12.05.2024,06:15
12.05.2024,GH101,Казань,09:15,35,25,15,10,12.05.2024,18:30
12.05.2024,IJ202,Екатеринбург,16:20,45,35,20,12,13.05.2024,05:40
13.05.2024,KL303,Новосибирск,11:00,55,45,30,18,14.05.2024,09:00
14.05.2024,MN404,Москва,19:10,50,30,22,14,15.05.2024,03:20
15.05.2024,OP505,Санкт-Петербург,08:45,70,50,40,25,15.05.2024,22:10
15.05.2024,QR606,Сочи,21:20,40,30,18,10,16.05.2024,08:00
16.05.2024,ST707,Краснодар,13:15,45,35,25,15,16.05.2024,23:55
17.05.2024,UV808,Москва,07:30,50,40,30,20,17.05.2024,19:45
18.05.2024,WX909,Владивосток,10:05,60,45,35,22,19.05.2024,14:30
19.05.2024,YA410,Ростов-на-Дону,14:50,65,50,40,30,20.05.2024,01:15
20.05.2024,ZB721,Уфа,17:25,55,40,28,15,21.05.2024,07:30
21.05.2024,XC832,Москва,06:40,40,30,20,12,21.05.2024,20:15
22.05.2024,VD943,Омск,15:55,50,35,25,18,23.05.2024,04:10
23.05.2024,TE054,Самара,20:10,45,30,20,10,24.05.2024,02:45
24.05.2024,SF165,Санкт-Петербург,09:20,60,45,35,25,24.05.2024,23:50
25.05.2024,RG276,Красноярск,22:15,70,55,45,30,27.05.2024,08:30
26.05.2024,QH387,Воронеж,12:40,40,25,15,8,26.05.2024,21:20
